banner,character,light_cone
3.7上半,昔涟,爱如此刻永恒
3.6下半,丹恒•腾荒,纵然山河万程
3.6上半,长夜月,致长夜的星光
3.5下半,刻律德菈,金血铭刻的时代
3.5上半,海瑟音,海洋为何而歌
3.4上半,Saber,没有回报的加冕
3.4上半,Archer,理想燃烧的地狱
3.4上半,白厄,黎明恰如此燃烧
3.3下半,赛飞儿,谎言在风中飘扬
3.3上半,风堇,愿虹光永驻天空
3.2下半,那刻夏,生命当付之一炬
3.2上半,遐蝶,让告别，更美一些
3.1下半,万敌,血火啊，燃烧前路
3.1上半,缇宝,如果时间是一朵花
3.0下半,阿格莱雅,将光阴织成黄金
3.0上半,大黑塔,向着不可追问处
2.7下半,忘归人,长路终有归途
2.7上半,星期日,回到大地的飞行
2.6上半,乱破,忍法帖•缭乱破魔
2.5下半,灵砂,唯有香如故
2.5上半,飞霄,我将，巡征追猎
2.4下半,椒丘,那无数个春天
2.4上半,云璃,落日时起舞
2.3下半,翡翠,偏偏希望无价
2.3上半,流萤,梦应归于何处
2.2下半,波提欧,驶向第二次生命
2.2上半,知更鸟,夜色流光溢彩
2.1下半,砂金,命运从未公平
2.1上半,黄泉,行于流逝的岸
2.0下半,花火,游戏尘寰
2.0上半,黑天鹅,重塑时光之忆
1.6下半,真理医生,纯粹思维的洗礼
1.6上半,阮•梅,镜中故我
1.5下半,银枝,片刻，留在眼底
1.5上半,藿藿,惊魂夜
1.4下半,托帕&账账,烦恼着，幸福着
1.4上半,镜流,此身为剑
1.3下半,符玄,她已闭上双眼
1.3上半,丹恒•饮月,比阳光更明亮的
1.2下半,卡芙卡,只需等待
1.2上半,刃,到不了的彼岸
1.1下半,罗刹,棺的回响
1.1上半,银狼,雨一直下
1.0下半,景元,拂晓之前
1.0上半,希儿,于夜色中
